A Clockwork Orange	;	Malcolm McDowell.
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir;		Cristina Vee.
A Cinderella Story		;Hilary Duff.
A Cinderella Story: Christmas Wish	;	Laura Marano.
A Clockwork Orange	;	Malcolm McDowell.
A Dangerous Woman		;Debra Winger.
'89		;Lee Dixon, Ian Wright, Paul Merson
â€‹â€‹Kuch Bheege Alfaaz;		Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan
â€‹Goli Soda 2;		Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha
â€‹Maj Rati â€‹â€‹Keteki;		Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar
Khoobsurat;		Sonam Kapoor, Fawad Khan, Kiron Kher, Ratna Pathak Shah, Amir Raza Hussain, Ashok Banthia, Kaizaad Kotwal, Rishabh Chaddha
Khoon Khoon;		Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep
Khosla Ka Ghosla;	Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma, Navin Nischol, Kiran Juneja, Ranvir Shorey, Vinod Nagpal, Vinay Pathak, Nitish Pandey
Khotey Sikkey	;	Vikas Kumar, Hassan Zaidi, Sukhmani Sadana, Puru Chibber, Dilkhush, Mark Farokh Parakh
Khubsoorat;		Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee
Khushi;		Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand
